Card #,Card Name,Mana Cost,Type Line,Power/Toughness,Rarity,Color Identity,Rules Text,Flavor Text,Keywords,Mechanics Tags,Art Description,Art Direction,Synergy
1,Accepted,{1}{W},Creature — Human Aes Sedai,1/2,Common,W,"{T}: Add {W}. If you've woven three or more times, add {W}{W} instead.","Young students of the Tower, disciplined and orderly.",,Mana Dork,"Young woman in white dress with Tower pendant, earnest expression","Hopeful, disciplined",Mana Dork/White
2,Accepted Fighter,{1}{W},Creature — Human Aes Sedai,2/1,Uncommon,W,"Whenever Accepted attacks, you may weave.",Training the One Power through action.,,"Aes Sedai,Female,Weaving",,,
3,Accepted Novice,{2}{W},Creature — Human Aes Sedai,1/1,Common,W,"Whenever you cast your first noncreature spell each turn, create a 1/1 white Aes Sedai creature token.",The Tower grows stronger with each initiate.,,Token Generator,"Group of young women in white, studying together","Community, growth",Token/White
4,Aes Sedai Bodyguard,{2}{W},Creature — Human Soldier,3/3,Uncommon,W,Aes Sedai Bodyguard can't attack unless you control another Aes Sedai. {W}: Aes Sedai Bodyguard gets +1/+0 until end of turn.,Sworn to protect.,,"Soldier,Aes Sedai,Synergy",,,
5,Aes Sedai Circle,{1}{W},Enchantment,,Uncommon,W,"Whenever you weave, create a 1/1 white Aes Sedai token. {W}{W}: All Aes Sedai creatures you control get +0/+1 until end of turn.",The Tower's strength is in unity.,,"Weaving,Synergy,Token",Circle of women joined by magical power,"United, strong",Weaving/Synergy
6,Aes Sedai Emissary,{1}{W},Creature — Human Aes Sedai,2/2,Uncommon,W,"Whenever Aes Sedai Emissary enters, you may search your library for a basic land and put it onto the battlefield.",The Tower reaches across the world.,,"Aes Sedai,Female,Tutor",Woman in formal Tower robes,"Diplomatic, commanding",Aes Sedai/Tutor
7,Aes Sedai Initiate,{1}{W},Creature — Human Aes Sedai,1/1,Common,W,"Whenever you cast a noncreature spell, weave.",Learning the One Power's mysteries.,,Weaving,Young woman channeling white-blue light,"Ethereal, focused",Weaving/White
8,Aes Sedai Legacy,{3}{W}{W},Enchantment,,Mythic,W,"Whenever an Aes Sedai enters, create a 1/1 white Aes Sedai token. {W}{W}{W}: All Aes Sedai get +2/+2 until end of turn and you gain 3 life.",The legacy of the Tower eternal.,,"Aes Sedai,Female,Token,Synergy",,,
9,Aes Sedai Liaison,{1}{W},Creature — Human Aes Sedai,1/2,Uncommon,W,"Whenever a creature enters under your control, the next spell you cast costs {1} less to cast until end of turn.",The Tower facilitates progress.,,"Aes Sedai,Female,Ramp",,,
10,Aes Sedai Muster,{2}{W}{W},Sorcery,,Rare,W,"Create X 1/1 white Aes Sedai creature tokens, where X is the number of Aes Sedai you control. Weave.",The Tower musters its strength.,,"Weaving,Token",,,
11,Amadician Recruit,{W},Creature — Human Whitecloak Soldier,1/1,Common,W,Anathema — Amadician Recruit gets +1/+1 as long as an opponent controls a Channeler.,In Amadicia even the farmboys know the Litany of Abomination.,,"Whitecloak,Anathema",Amadician Recruit — Human Whitecloak Soldier from the Wheel of Time,"Painterly fantasy, dramatic light",Whitecloak
12,Andor Militia,{1}{W},Creature — Human Soldier,1/2,Uncommon,W,Other Soldiers you control get +1/+0.,The Lion's defenders stand united.,,"Soldier,Synergy",Group of armored soldiers in formation,"Organized, strong",Soldier/Synergy
13,"Berelain sur Paendrag, First of Mayene",{1}{W},Legendary Creature — Human Noble,2/2,Uncommon,W,"When Berelain enters, tap target creature an opponent controls and you gain 2 life.",,,Tempo,"Berelain sur Paendrag, First of Mayene — Human Noble from the Wheel of Time","Painterly fantasy, dramatic light",Tempo
14,Caemlyn Knight,{1}{W},Creature — Human Knight,2/2,Common,W,"First strike. Whenever Caemlyn Knight attacks, you gain 1 life.",Noble protectors of the realm.,First Strike,Knight,Armored noble knight in white and gold,"Honorable, valiant",Knight/Aggro
15,Caemlyn Rising,{2}{W},Sorcery,,Common,W,Create three 1/1 white Soldier tokens.,The Lion's throne stands strong.,,"Token,Soldier",,,
