Card #,Card Name,Mana Cost,Type Line,Power/Toughness,Rarity,Color Identity,Rules Text,Flavor Text,Keywords,Mechanics Tags,Art Description,Art Direction,Synergy
537,Mist Token,,Token Creature — Mist,1/1,Token,B,Deathtouch,,Deathtouch,Token,"A creeping tendril of Mashadar — the hungry silver-grey mist of dead Shadar Logoth — coiling through ruined moonlit streets, faintly luminous and lethal.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
538,Aes Sedai Token (Blue),,Token Creature — Aes Sedai,1/1,Token,U,,,,Token,"A young Blue Ajah Aes Sedai in a blue-fringed shawl, weaving glowing threads of the One Power (Air and Water), calm and resolute.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
539,Damane Token,,Token Creature — Damane,1/1,Token,U,,,,Token,"A collared damane in plain grey, the silver a'dam leash trailing away, sorrowful eyes, reluctantly channeling a shimmer of Power.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
540,Aiel Token,,Token Creature — Aiel,1/1,Token,G,,,,Token,"A veiled Aiel warrior of the Three-fold Land in earth-tone cadin'sor, spear and hide buckler ready, hard and lean against red rock.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
541,Wolf Token (1/1),,Token Creature — Wolf,1/1,Token,G,,,,Token,"A lean grey wolf of the Two Rivers, golden eyes gleaming, standing alert at the edge of a misty green forest.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
542,Elemental Token (1/1),,Token Creature — Elemental,1/1,Token,R,Haste,,Haste,Token,"A small darting elemental of living fire and wind woven from Saidin, sparks trailing, kinetic and fast.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
543,Aes Sedai Token (White),,Token Creature — Aes Sedai,1/1,Token,W,,,,Token,"A White Tower Aes Sedai in a white-fringed shawl, serene, a soft aura of the Power around her raised hand.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
544,Soldier Token (1/1),,Token Creature — Soldier,1/1,Token,W,,,,Token,"A young Andoran soldier in the red-and-white of the Queen's Guard, spear and shield, earnest and green.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
545,Whitecloak Soldier Token,,Token Creature — Whitecloak Soldier,1/1,Token,W,,,,Token,"A Child of the Light footman in a snowy-white cloak with the golden sunburst, zealous, marching with a halberd.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
546,Elemental Token (2/1),,Token Creature — Elemental,2/1,Token,R,Haste,,Haste,Token,"A larger churning elemental of fire and lightning, roughly humanoid, molten core, aggressive lunge.","Match the set's painterly fantasy card-art style; single central subject, no text/borders, portrait 3:4, dramatic lighting.",
